ge0 energy,ge0 e_unc,ge0 sigma,ge0 sig_unc,ge2 energy,ge2 e_unc,ge2 sigma,ge2 sig_unc,ge4 energy,ge4 e_unc,ge4 sigma,ge4 sig_unc,ge6 energy,ge6 e_unc,ge6 sigma,ge6 sig_unc
176.1851314488172,0.44854831408999934,2.2590171173665636,1.0725444223995557,176.50444689335453,0.038280085400193654,-0.468476716556587,0.04091192912544002,175.95975534022884,0.05173180414092018,0.7700337972522258,0.06370932714860318,176.2708568125154,0.05262440027179255,0.6456832003467023,0.05798206904857857
196.93503217752905,0.12749967056453362,0.8170447349226513,0.1352047877074186,197.17117664021387,0.071804556651121,0.624989233546894,0.07481045607685007,197.63468096657857,0.16054812952733413,1.046612322354416,0.17273843264015637,197.79370100011516,0.11394491321662477,1.1191958590296323,0.12300956923358687
208.37153316359675,0.03986657056121839,0.1669837731249655,0.04045964476570774,208.60150626932295,0.059779120410666166,0.4794557757085159,0.06282525118951823,208.0525286842255,0.10979452516550037,0.6666243780322159,0.11790923363287541,208.39711964006187,0.05488546990256837,0.524647933910331,0.05805520721431028
239.80615605057585,0.01498647965605343,0.8206659266154874,0.016408405753211144,239.86719905827422,0.002745592999270157,0.5171619431812831,0.0028959030577392236,239.52247991925157,0.01181711448216263,0.8307234165476646,0.012993399653627679,239.78509081552784,0.00827342483280944,0.6770511757154242,0.008895853413786821
272.6540024988855,0.2387465288175156,1.2327979080203346,0.2918592081558698,273.0101631574273,0.10475026159378163,0.9629798863849954,0.12281067492247573,272.8632732611344,0.1108564087625754,1.2514875320862922,0.14070576324376555,273.0421168305778,0.06576558579291779,1.1285735090047737,0.0819927434286038
311.9081349459334,0.08972325566263227,0.9994362034157367,0.10970934493482162,312.0318331120105,0.04198740742913829,0.6471276641377066,0.04601813235667101,311.70066222705134,0.06191435701747922,0.983043633798868,0.0771854364351929,311.9686340606022,0.037712776753297435,0.8229265854106407,0.04329101216323888
319.11427416247994,0.03793017492066448,0.7476954479795386,0.041561763434930656,319.109349435597,0.013071465734783625,0.5645330754643934,0.013770646734211597,318.7719985660163,0.02002243363331422,0.831242333826128,0.022437458432135914,319.0229030036035,0.012106521447088403,0.653079102448974,0.012918730083276486
324.33542838153204,0.1747238339475541,0.5988099916276501,0.2036035308631754,324.2790732136127,0.045457891736288183,0.4986260574664764,0.05033718942121709,323.9189842093199,0.08513437028163123,0.7472428255110953,0.10331637529761394,324.2118081623245,0.05248152391050225,0.5289328325719529,0.05855216530622673
nan,nan,nan,nan,340.5188226515735,0.027140140146206696,0.49415455274010084,0.028826840153286855,340.14772989589176,0.054273230417829,0.5960046920463912,0.07263507954520024,340.376645569724,0.02183748360108839,0.65691782341114,0.023793660100730623
nan,nan,nan,nan,343.34262368565754,0.09883446824972306,0.38024632064886477,0.102337457792718,340.50896394880584,0.17630202591109526,2.6362681254654166,0.3795522537676233,343.1515242317038,0.07390315739484846,0.6242140965352577,0.0785468460107282
nan,nan,nan,nan,350.645205909483,0.06476458887122388,-0.5134642007476719,0.06677690565968677,348.85508162318376,0.9046143886396665,1.061138902947655,0.5446905684089763,348.5716397100064,0.08235117855297916,0.4384425722189004,0.08011523982021944
nan,nan,nan,nan,348.46373705725966,0.13185155906638088,0.4032944647165857,0.13519147276580962,350.51703683915474,0.2848454930506799,0.7016698751903858,0.1955378020656595,350.32010823125194,0.05926035477410632,0.6726794380520668,0.0648580069011919
nan,nan,nan,nan,359.3217238043102,0.024204378814407568,0.5733919611440086,0.025416709897240326,358.8854068720232,0.027643915358914823,0.8818117469457295,0.029825289260238447,359.2059059914084,0.014411807524538868,0.6646324435538117,0.015274876870345257
376.56141469055257,0.06924772757424183,0.21070911424528774,0.07024679265282427,376.60406275856906,0.09924470447835258,0.43938087686554333,0.10228487600624209,376.3198190579359,0.1779646583265155,0.9991439151729228,0.19445191150189264,376.4610605617908,0.08799073246130891,0.6869396451379105,0.09273757090146603
