theta3  E4(MeV)
18.8485  0.0587
18.1562  0.0545
17.4375  0.0503
16.689  0.0462
15.9065  0.042
15.0847  0.0378
14.2168  0.0336
13.2937  0.0294
12.3031  0.0252
11.2271  0.021
10.0381  0.0168
8.6901  0.0126
7.0929  0.0085
5.0136  0.0043
0  0.0001
