============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5 MeV) ==> Xe gas( 25.3 mm) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   69  1 .4470463E+07   2540000E+02 -.3436E+07  .9538E+06   .9998545 -.0138845  .0099130
T   70  1 .4502757E+07   2540000E+02 -.5375E+07  .5522E+07   .9964336 -.0601772  .0591503
T   71  1 .4491032E+07   2540000E+02 -.7766E+07 -.4346E+07   .9977186 -.0466547 -.0487958
T   72  1 .4474621E+07   2540000E+02  .7978E+07  .9650E+06   .9978973  .0645072  .0063068
T   73  1 .4517557E+07   2540000E+02 -.2709E+07  .4576E+07   .9998071  .0165529 -.0105741
T   74  1 .4457585E+07   2540000E+02 -.4147E+07  .9146E+07   .9953392 -.0477748  .0837707
T   75  1 .4446576E+07   2540000E+02 -.1173E+08 -.5974E+07   .9969657 -.0699245 -.0342033
T   76  1 .4490340E+07   2540000E+02 -.6467E+07 -.1522E+07   .9948865 -.0925010 -.0405515
T   77  1 .4413688E+07   2540000E+02  .5845E+06 -.1115E+07   .9998816 -.0137146 -.0069767
T   78  1 .4487801E+07   2540000E+02 -.8039E+06  .7583E+06   .9998796 -.0153178 -.0024853
T   79  1 .4515158E+07   2540000E+02 -.1626E+07  .1798E+07   .9996875 -.0200050  .0149923
T   80  1 .4541190E+07   2540000E+02 -.4130E+07  .1082E+07   .9997446  .0151557  .0167642
T   81  1 .4512351E+07   2540000E+02  .7735E+07 -.2306E+07   .9990996  .0408089 -.0115996
T   82  1 .4502800E+07   2540000E+02  .1482E+07 -.2037E+06   .9998982  .0002695  .0142644
T   83  1 .4527530E+07   2540000E+02 -.1320E+07  .4614E+06   .9998043 -.0132596  .0146813
T   84  1 .4470396E+07   2540000E+02 -.3640E+07 -.1810E+07   .9995416 -.0282355 -.0109263
T   85  1 .4455327E+07   2540000E+02  .2650E+07  .1956E+07   .9998530  .0098918  .0140073
T   86  1 .4488230E+07   2540000E+02  .5630E+07 -.4835E+07   .9982139  .0548182 -.0237489
