============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   70  1 .9951764E+07   2540116E-02 -.6096E+02 -.6086E+02   .9999485 -.0059766 -.0082035
T   71  1 .9937290E+07   2540244E-02  .7334E+02  .1274E+03   .9999038  .0102127  .0093857
T   72  1 .9950477E+07   2540080E-02 -.3738E+02  .5170E+02   .9999300 -.0028301  .0114894
T   73  1 .9948122E+07   2540178E-02 -.8061E+02  .1147E+02   .9999744 -.0071513  .0002493
T   74  1 .9958753E+07   2540179E-02  .1073E+03  .1711E+03   .9997117  .0105170  .0215863
T   75  1 .9956181E+07   2540214E-02  .1186E+03 -.8948E+01   .9999786  .0057372  .0031301
T   76  1 .9958703E+07   2540000E-02  .3072E+02  .1114E+02   .9999907 -.0009089  .0042071
T   77  1 .9959156E+07   2540097E-02 -.3771E+02 -.2395E+02   .9999922 -.0026789 -.0029130
T   78  1 .9954123E+07   2540243E-02 -.6840E+02  .8217E+02   .9999836 -.0033228  .0046606
T   79  1 .9965771E+07   2540127E-02 -.1280E+02  .9447E+02   .9999407 -.0065225  .0087212
T   80  1 .9957419E+07   2540260E-02 -.7464E+02 -.3252E+02   .9999854 -.0030568 -.0044658
T   81  1 .9946772E+07   2540109E-02  .6101E+01 -.2956E+02   .9999782 -.0045196 -.0048085
T   82  1 .9955480E+07   2540108E-02 -.1079E+03 -.2776E+03   .9999449 -.0011571 -.0104339
T   83  1 .9951117E+07   2540256E-02 -.5844E+02  .1220E+03   .9999954  .0012300  .0027871
T   84  1 .9962107E+07   2540254E-02 -.5877E+02  .1543E+03   .9998476 -.0049876  .0167278
T   85  1 .9956439E+07   2540036E-02  .1930E+02  .2877E+00   .9999876  .0048554 -.0011401
T   86  1 .9957394E+07   2540195E-02 -.1944E+02 -.8225E+02   .9999449 -.0013374 -.0104107
T   87  1 .9948529E+07   2540012E-02  .7963E+02 -.7382E+02   .9998811  .0137981 -.0068869
T   88  1 .9955725E+07   2540258E-02 -.7040E+02 -.1952E+01   .9999928 -.0036506 -.0010554
T   89  1 .9949904E+07   2540194E-02 -.2367E+02 -.1381E+02   .9999918  .0007516 -.0039782
T   90  1 .9964075E+07   2540261E-02  .7096E+02  .1555E+02   .9999878  .0040319  .0028460
T   91  1 .9966814E+07   2540036E-02  .5260E+02  .2630E+02   .9999461  .0092509  .0047136
T   92  1 .9957447E+07   2540052E-02 -.1699E+02 -.2200E+02   .9999931  .0017139 -.0033011
T   93  1 .9959916E+07   2540069E-02  .3769E+02 -.7842E+02   .9999459  .0067662 -.0078946
T   94  1 .9939819E+07   2540208E-02 -.4179E+03 -.4577E+03   .9985990 -.0337846 -.0407275
T   95  1 .9953230E+07   2540219E-02  .2742E+01 -.2661E+02   .9999765  .0053589 -.0042722
T   96  1 .9938406E+07   2540088E-02  .9397E+02 -.2226E+02   .9999765  .0065801 -.0019133
T   97  1 .9951156E+07   2540222E-02  .7999E+02 -.1016E+02   .9999870  .0050040 -.0009922
T   98  1 .9965484E+07   2540249E-02 -.3404E+02 -.1459E+02   .9999816 -.0048913 -.0035977
