============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   67  2 .2478315E+08   2540257E-02  .7239E+01 -.8529E+02   .9999897 -.0025295 -.0037709
T   68  2 .2477926E+08   2540092E-02  .4756E+02 -.4921E+02   .9999589  .0056783 -.0070621
T   69  2 .2472328E+08   2540169E-02 -.1045E+02  .3203E+02   .9999973 -.0011159  .0020524
T   70  2 .2479123E+08   2540217E-02  .2973E+02 -.2349E+02   .9999994  .0000492 -.0010607
T   71  2 .2474066E+08   2540045E-02  .1450E+02 -.1847E+02   .9999847 -.0017012 -.0052625
T   72  2 .2478419E+08   2540183E-02  .1220E+02 -.1512E+02   .9999953  .0028864 -.0010390
T   73  2 .2480922E+08   2540219E-02  .4394E+02 -.5702E+02   .9999803  .0026995 -.0056632
T   74  2 .2476418E+08   2540108E-02 -.7422E+01  .3797E+02   .9999886 -.0021375  .0042615
T   75  2 .2476162E+08   2540145E-02  .3065E+03  .1412E+03   .9998130  .0172012  .0088390
T   76  2 .2477271E+08   2540106E-02  .9912E+01 -.8150E+01   .9999868 -.0009363 -.0050575
T   77  2 .2484153E+08   2540256E-02  .3413E+02  .1284E+03   .9999756  .0016773  .0067797
T   78  2 .2479215E+08   2540124E-02 -.4858E+02  .4675E+02   .9999907 -.0029733  .0031226
T   79  2 .2476758E+08   2540184E-02 -.2552E+02 -.6879E+02   .9999843 -.0017476 -.0053320
T   80  2 .2475188E+08   2540199E-02  .5195E+02 -.2604E+02   .9999909  .0042482  .0002721
T   81  2 .2474916E+08   2540011E-02 -.1476E+02 -.2290E+02   .9999235 -.0097751 -.0075815
T   82  2 .2477699E+08   2540036E-02 -.8667E+02 -.1144E+03   .9999306 -.0069523 -.0095077
T   83  2 .2479770E+08   2540052E-02  .4034E+02  .3695E+00   .9999799  .0051589 -.0036925
T   84  2 .2476581E+08   2540032E-02 -.1423E+02 -.6657E+02   .9999996  .0007186  .0006128
T   85  2 .2481174E+08   2540235E-02  .1250E+01  .5588E+02   .9999957 -.0006916  .0028479
T   86  2 .2474692E+08   2540063E-02  .8132E+02 -.3478E+02   .9999922  .0005596 -.0039006
T   87  2 .2475377E+08   2540038E-02  .1363E+02 -.3320E+02   .9999915  .0016134 -.0037940
T   88  2 .2481520E+08   2540117E-02 -.5199E+02 -.1346E+02   .9999856 -.0046469 -.0026843
T   89  2 .2474772E+08   2540140E-02 -.1907E+02 -.5393E+02   .9999860 -.0051297  .0013345
T   90  2 .2479252E+08   2540023E-02 -.3815E+02  .5597E+01   .9999968 -.0021610 -.0013016
T   91  2 .2476991E+08   2540137E-02  .3725E+02  .4535E+02   .9999966  .0017087  .0019812
T   92  2 .2475992E+08   2540147E-02  .1451E+03  .1432E+03   .9998985  .0106815  .0094319
T   93  2 .2478386E+08   2540263E-02 -.2828E+02 -.4389E+02   .9999887 -.0028074 -.0038382
T   94  2 .2472865E+08   2540238E-02 -.2801E+02  .3583E+02   .9999787 -.0064941 -.0007212
T   95  2 .2481573E+08   2540098E-02 -.1387E+02  .3335E+02   .9999971 -.0011429  .0021348
T   96  2 .2477453E+08   2540245E-02 -.4894E+02  .3926E+02   .9999957 -.0026842 -.0011403
T   97  2 .2478285E+08   2540135E-02  .1373E+03 -.7366E+01   .9999659  .0080615 -.0017870
T   98  2 .2473251E+08   2540214E-02  .3875E+02 -.3702E+02   .9999957  .0026543 -.0012478
T   99  2 .2478379E+08   2540244E-02 -.4213E+02 -.2454E+02   .9999380 -.0110704 -.0011905
T  100  2 .2478879E+08   2540115E-02 -.1093E+02 -.1106E+02   .9999976  .0015155 -.0015521
T  101  2 .2480726E+08   2540012E-02  .1019E+02  .8541E+01   .9999995  .0001444 -.0009560
T  102  2 .2476791E+08   2540209E-02  .6932E+02  .1169E+02   .9999439  .0105818  .0005592
T  103  2 .2478454E+08   2540159E-02 -.1205E+02 -.1084E+03   .9999708 -.0030980 -.0069929
T  104  2 .2479929E+08   2540242E-02 -.8408E+01 -.9397E+01   .9999969  .0005638 -.0024362
T  105  2 .2475743E+08   2540229E-02  .4027E+02  .3611E+02   .9999952  .0030846  .0001617
T  106  2 .2476401E+08   2540248E-02 -.2300E+02 -.1820E+02   .9999950 -.0017371  .0026605
T  107  2 .2476757E+08   2540250E-02  .1290E+01 -.4518E+01   .9999984  .0017528 -.0001960
T  108  2 .2480325E+08   2540156E-02 -.4291E+02  .3744E-01   .9999789 -.0052652 -.0038003
T  109  2 .2473663E+08   2540034E-02 -.3772E-01  .3326E+02   .9999858  .0040878  .0034279
T  110  2 .2475251E+08   2540031E-02 -.6159E+02 -.6402E+01   .9999846 -.0054292 -.0011553
T  111  2 .2473418E+08   2540045E-02 -.6901E+02 -.3433E+02   .9999855 -.0051979 -.0014391
T  112  2 .2480186E+08   2540186E-02 -.2571E+02 -.4583E+01   .9999975  .0009080  .0020216
T  113  2 .2478606E+08   2540201E-02  .5445E-01  .8223E+01   .9999997  .0007075  .0003435
T  114  2 .2480231E+08   2540161E-02  .8812E+02 -.3936E+02   .9999617  .0073580 -.0047346
T  115  2 .2478209E+08   2540118E-02  .8563E+02 -.3616E+02   .9999657  .0073983 -.0037298
T  116  2 .2477336E+08   2540014E-02  .6000E+02 -.3096E+02   .9999761  .0065001 -.0023629
T  117  2 .2474593E+08   2540077E-02  .4008E+02  .4970E+00   .9999860  .0037981  .0036795
T  118  2 .2479948E+08   2540165E-02 -.1591E+02  .2125E+02   .9999977  .0001641  .0021575
T  119  2 .2483875E+08   2540212E-02  .1007E+03 -.1926E+03   .9999320  .0078835 -.0085892
T  120  2 .2475475E+08   2540246E-02  .1548E+02 -.6862E+02   .9999079  .0020265 -.0134198
T  121  2 .2480090E+08   2540197E-02 -.1480E+02 -.8803E+01   .9999964 -.0026003  .0007298
T  122  2 .2477269E+08   2540097E-02  .1061E+02 -.4925E+02   .9999851  .0017085 -.0051854
T  123  2 .2477339E+08   2540083E-02 -.1238E+03 -.1421E+03   .9999208 -.0099200 -.0077505
T  124  2 .2477033E+08   2540250E-02  .5530E+03  .1555E+03   .9995306  .0305592  .0021821
T  125  2 .2480519E+08   2540134E-02 -.3669E+02  .2066E+02   .9999934 -.0036162  .0002535
T  126  2 .2478133E+08   2540089E-02  .2885E+02 -.1717E+01   .9999609  .0048468  .0073933
T  127  2 .2480183E+08   2540262E-02 -.3255E+02  .3932E+01   .9999989 -.0012839  .0007128
T  128  2 .2481089E+08   2540161E-02 -.1078E+02  .3852E+02   .9999764 -.0045565  .0051490
T  129  2 .2477843E+08   2540114E-02 -.1760E+02  .4692E+02   .9999857 -.0013047  .0051827
T  130  2 .2476161E+08   2540002E-02 -.3205E+02 -.3088E+02   .9999955 -.0010481 -.0028068
T  131  2 .2476266E+08   2540058E-02  .1358E+02  .2327E+02   .9999858  .0028763  .0044847
T  132  2 .2474655E+08   2540232E-02 -.6944E+02 -.9515E+02   .9999463 -.0058495 -.0085532
T  133  2 .2478533E+08   2540115E-02  .1520E+03 -.2112E+03   .9999526  .0071442 -.0066225
T  134  2 .2479839E+08   2540145E-02  .2156E+02 -.6247E+02   .9996988  .0108365 -.0220191
T  135  2 .2475829E+08   2540166E-02 -.3870E+02 -.1334E+03   .9996605 -.0001300 -.0260550
T  136  2 .2476222E+08   2540121E-02  .1517E+02 -.6418E+02   .9999806  .0019155 -.0059256
T  137  2 .2476926E+08   2540174E-02 -.2332E+01  .3032E+02   .9999948  .0016412  .0027627
T  138  2 .2477259E+08   2540128E-02  .1492E+03 -.1037E+03   .9995937  .0236900 -.0158530
T  139  2 .2479290E+08   2540184E-02 -.2106E+02  .3591E+02   .9999939  .0004201  .0034732
T  140  2 .2481016E+08   2540104E-02 -.3098E+01  .6198E+01   .9999679  .0065633  .0046045
T  141  2 .2475058E+08   2540244E-02 -.9150E+02 -.3794E+02   .9999252 -.0083176 -.0089629
T  142  2 .2476444E+08   2540117E-02  .1522E+02  .8361E+02   .9999730 -.0030775  .0066754
T  143  2 .2479557E+08   2540125E-02 -.8196E+02  .5796E+02   .9998299 -.0137088  .0123414
T  144  2 .2478550E+08   2540134E-02  .8194E+02 -.1932E+02   .9999979 -.0016782  .0012081
T  145  2 .2480282E+08   2540220E-02 -.3123E+02  .3238E+02   .9999905 -.0008979  .0042766
T  146  2 .2478037E+08   2540191E-02 -.2155E+02  .4125E+02   .9999930  .0004401  .0037275
T  147  2 .2479022E+08   2540209E-02  .3071E+02  .8202E+02   .9999731  .0017349  .0071250
T  148  2 .2480394E+08   2540105E-02  .4458E+02 -.6053E+01   .9999837  .0053217  .0020503
T  149  2 .2481357E+08   2540087E-02 -.7285E+01 -.3420E+02   .9999971  .0005677 -.0023322
T  150  2 .2481651E+08   2540038E-02 -.2962E+02  .1381E+02   .9999986 -.0007695  .0014798
T  151  2 .2481932E+08   2540083E-02  .2642E+02 -.1249E+02   .9999821  .0055389  .0022515
T  152  2 .2481286E+08   2540189E-02  .1759E+02 -.2607E+02   .9999990 -.0010037 -.0009494
